2023-12-30 22:12:256 INFO  CreateAccountPage :162 - Entering Last name into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> name: last_name]
2023-12-30 22:12:417 INFO  CreateAccountPage :167 - Entering company name into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> name: company]
2023-12-30 22:12:573 INFO  CreateAccountPage :172 - Entering address into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: address1]
2023-12-30 22:12:762 INFO  CreateAccountPage :177 - Entering address2 into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: address2]
2023-12-30 22:12:932 INFO  CreateAccountPage :182 - Selecting Country into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: country]
2023-12-30 22:12:90 INFO  CreateAccountPage :187 - Entering State into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: state]
2023-12-30 22:12:221 INFO  CreateAccountPage :192 - Entering city into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: city]
2023-12-30 22:12:364 INFO  CreateAccountPage :197 - Entering Zipcode into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> name: zipcode]
2023-12-30 22:12:479 INFO  CreateAccountPage :202 - Entering mobile number into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: mobile_number]
2023-12-30 22:12:611 INFO  CreateAccountPage :207 - Clicking on Create Account button : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //button[normalize-space()='Create Account']]
2023-12-30 22:12:425 INFO  CreateAccountPage :212 - Getting text from : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //b[normalize-space()='Account Created!']]
2023-12-30 22:12:465 INFO  CreateAccountPage :217 - Clicking on Continue button : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //a[normalize-space()='Continue']]
2023-12-30 22:12:150 INFO  HomePage :145 - Getting text from : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> css selector: li:nth-child(10) a:nth-child(1)]
2023-12-30 22:12:181 INFO  HomePage :192 - Clicking on Cart Link : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //a[normalize-space()='Cart']]
2023-12-30 22:12:858 INFO  ProductPage :197 - Clicking on Right Arrow Button : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //a[normalize-space()='Proceed To Checkout']]
2023-12-30 22:12:409 INFO  ProductPage :202 - Getting Text from : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: (//li[@class='address_address1 address_address2'][normalize-space()='41 Satellite Road'])[1]]
